76,30,-128,-113,-146,-69,-151,-32,72,-4,-97,-84,-9,9,57,77,31,83,-38,-26,99,52,-61,70,13,-2,-17,-63,35,63,78,92,71,-31,55,-95,-92,-110,78,92,100,54,85,-1,55,47,-75,42,72,91,90,-33,98,70,5,73,17,68,69,59,4,-33,28,-241,-196,28,50,90,93,-108,9,-87,-100,93,38,-39,-97,38,54,-229,32
-172,81,58,51,70,57,-189,13,-27,-130,83,53,-59,89,84,-24,46,74,-67,-52,-5,34,84,22,-111,-39,95,96,78,15,55,59,62,11,90,-15,31,-31,84,55,100,72,80,-45,-83,78,81,85,55,57,96,-11,9,-7,-10,2,12,34,18,88,95,-47,86,24,70,36,94,-8,-123,34,82,-73,-164,23,40,31,-94,94,21,-95,31
73,-60,-57,88,47,34,66,-146,-119,0,22,67,78,59,61,-19,54,-7,36,-34,48,67,-12,92,15,-130,91,18,9,-35,93,86,85,82,-159,-107,27,18,73,41,100,49,75,73,-28,-7,40,17,60,53,95,51,-2,-18,9,80,55,98,86,30,-7,-57,-11,4,28,69,69,70,24,-27,-99,-3,-58,-195,-104,37,84,12,-126,28,76
-50,45,-8,55,7,-21,3,91,-73,9,-157,60,36,8,63,90,83,37,27,25,49,35,71,44,79,-113,93,20,56,-22,94,63,22,91,25,-57,-119,67,31,66,100,82,67,-76,28,85,4,-19,81,83,41,80,2,-133,-5,-151,-21,96,48,79,-63,-12,-30,44,68,-23,-37,-61,26,96,-92,63,-32,-326,-236,-33,-29,84,-36,50,-194
88,10,35,-24,-9,-107,72,-58,18,-6,23,70,89,38,-73,-142,14,-24,-42,-7,35,39,8,32,32,-71,-64,-157,89,-53,67,89,99,66,-131,-83,-120,35,36,79,100,87,7,83,12,-37,85,79,87,99,53,61,83,-20,0,16,51,-26,65,92,50,98,-8,-86,21,-44,96,-133,29,-109,-118,-69,-49,-265,-192,-3,-36,-39,-181,44,-31
-39,-138,-112,-133,23,39,-20,76,4,-210,65,-148,26,32,100,-163,-2,-94,2,-80,-42,50,60,95,74,43,43,36,60,65,67,78,68,-69,86,-159,36,71,79,92,100,81,-87,80,16,32,72,78,49,43,98,67,89,7,-47,-8,53,90,11,82,-9,29,-224,-64,78,-100,-11,56,47,-95,88,-55,19,55,-25,42,96,65,-33,23,-302
-113,25,-71,-75,-54,-160,46,49,77,75,36,75,-58,85,82,93,-42,72,94,17,-20,91,41,81,96,-128,6,5,-63,43,93,32,67,-28,62,-77,-40,-81,68,80,100,38,66,77,31,48,-56,37,18,94,28,60,-17,-68,19,-153,67,89,90,61,91,97,2,80,-28,95,69,-28,64,24,56,-6,-214,44,58,62,41,-122,5,-252,61
-59,24,19,47,-89,-56,70,86,-43,-5,86,24,17,-29,-44,34,87,-247,35,95,-3,98,73,53,93,1,-15,-34,-50,63,83,50,21,3,-17,84,42,65,-1,98,100,99,-6,84,-52,58,20,75,17,78,85,61,-134,-128,29,89,52,54,56,26,43,-4,-43,-66,19,31,100,47,-12,63,10,-60,-13,35,-22,-68,53,-13,60,-47,-52
86,15,67,-74,-102,-17,89,-23,-188,76,-3,41,53,47,61,59,-6,51,-5,20,73,100,-41,66,40,69,-14,-267,54,77,56,98,83,19,21,20,57,-31,89,95,100,77,67,37,19,-98,-9,5,72,94,23,-13,-87,13,-222,-17,9,6,58,100,88,9,-55,-187,54,-19,40,58,31,73,-10,-40,93,53,43,64,73,69,-87,-157,87
-190,-373,61,-158,-40,98,30,8,-107,84,-25,-13,95,97,38,70,73,52,27,24,50,20,64,26,79,90,-41,-17,42,75,90,81,66,67,88,-119,93,0,68,69,100,78,71,-142,74,-9,-88,15,85,83,72,72,57,51,28,18,-16,-45,30,62,98,-124,10,62,-64,68,13,50,43,-40,-52,-22,-35,-54,-22,42,-47,22,-22,26,72
25,-19,1,65,78,18,84,-10,-40,-77,66,92,-82,94,53,36,80,26,-101,24,67,91,-26,39,-52,-79,74,-60,49,50,90,94,96,77,19,-67,87,29,57,83,100,38,63,-84,55,-42,-10,17,86,86,23,75,78,-247,47,94,-80,62,8,69,62,58,-35,-220,-113,-1,21,-108,70,-48,63,52,69,36,-81,85,-145,77,88,23,90
90,-39,-116,64,57,40,-17,42,-335,-247,-38,62,-63,28,40,40,20,-285,-147,12,57,39,66,-2,57,21,-52,-1,2,67,88,82,80,73,49,97,2,39,-5,94,100,78,74,55,-41,-5,81,43,83,18,51,41,-18,71,73,78,-50,13,90,54,93,68,68,-200,-103,-136,85,86,-8,-59,-87,-11,4,-22,13,10,20,-91,-100,-109,34
65,77,-46,-124,16,81,-63,-273,38,-188,-82,-50,40,-147,64,-17,-162,36,-84,-25,9,-2,73,-26,14,-51,-27,-46,53,39,33,93,86,31,-73,73,-5,44,77,78,100,68,58,-84,26,2,8,-39,87,91,57,12,93,100,-199,-108,-13,-91,85,-21,12,16,-1,64,0,-62,91,-15,-13,84,29,50,85,-104,55,52,82,33,94,-306,6
-110,5,82,38,50,-3,-19,-22,5,34,-90,86,37,50,-14,37,-110,70,-17,14,-16,66,0,-59,-17,-12,65,-247,-95,69,51,90,72,88,-52,55,85,31,82,20,100,36,62,-44,-42,-117,14,74,-10,99,29,56,-19,65,75,52,69,89,91,18,65,-257,-59,64,18,-22,96,-50,65,72,-153,-104,63,11,-16,-54,-172,98,79,-124,-135
-77,-96,-19,-41,6,-7,-122,-204,-91,-11,27,8,10,49,3,37,10,-2,95,-70,53,44,73,76,-43,-90,34,-199,96,85,50,51,12,74,-12,-54,80,74,23,69,100,91,87,-6,22,-4,4,-34,85,92,68,57,29,16,79,97,42,90,6,60,63,66,-13,-54,-96,85,13,-171,70,-28,61,-50,-39,-73,-55,20,52,-68,24,-198,-99
-135,10,84,14,60,-143,-61,13,-159,-155,13,70,43,37,-114,-38,3,42,-178,90,-21,54,79,17,48,-107,-86,97,37,-5,55,54,6,72,15,32,-21,60,23,80,100,85,11,80,92,65,-90,30,85,90,100,96,-89,-113,-20,12,84,-27,54,72,-39,38,-59,-46,-133,79,29,-77,72,17,-128,94,-32,-10,51,71,-54,-175,64,63,-34
-164,-245,64,0,86,-107,-95,-13,-231,34,-52,-13,35,40,-41,27,-79,-29,48,27,39,83,20,98,-23,39,51,22,75,-7,42,52,92,91,-28,-43,61,-18,56,67,100,66,50,45,3,75,-14,87,61,86,84,82,85,17,-105,-22,55,99,98,3,75,-112,79,38,43,89,93,36,43,57,-82,-263,-40,-45,76,-2,-82,-57,51,33,44
76,-202,91,-53,-38,54,95,-107,-8,-101,-212,61,-11,56,75,-27,-19,-49,-163,66,-3,-11,62,-17,44,-17,-125,-80,-77,-92,54,85,88,24,-26,-75,-97,38,58,97,100,77,71,-95,92,7,-70,84,86,85,84,43,0,-120,63,92,-77,61,19,-10,-8,87,-116,-50,61,-61,61,-42,-34,-170,47,-219,88,-46,-62,-55,-214,-18,33,73,-43
-188,13,-107,9,-34,53,91,-15,-247,-14,-19,32,-114,-76,-81,35,27,34,-19,0,-36,36,48,71,-125,-103,-198,-125,76,12,86,95,59,96,75,-72,33,-8,30,85,100,30,60,-55,73,81,64,44,84,82,58,40,-42,-11,90,60,76,54,8,72,-7,-165,3,-76,-159,100,-39,-49,-1,67,40,-185,14,-41,27,-41,67,-16,-3,-28,81
-84,-54,68,-75,-75,96,30,70,-206,-66,-191,-148,-14,-163,-6,-19,47,-249,82,67,49,8,24,56,59,-26,-211,64,18,53,28,28,82,68,14,41,47,-103,29,80,100,83,87,68,33,14,-31,56,87,81,53,30,35,32,-100,12,35,42,86,6,51,16,-10,-195,79,-19,-59,-55,-17,72,14,80,-112,84,-131,-94,-101,52,-41,32,-96
-81,41,57,66,-102,8,50,-130,-394,70,80,81,-86,66,74,6,-153,-3,57,59,67,19,19,41,10,-19,35,79,72,35,35,67,91,-44,-18,95,50,-146,93,94,100,68,52,70,-6,43,-64,66,86,90,97,23,-84,60,71,52,62,80,52,94,-236,86,-177,-70,0,-60,-84,-115,57,-2,37,68,78,66,79,-85,-46,39,88,49,-25
73,-101,51,-2,-168,64,65,-86,20,-69,-98,24,25,69,91,23,-121,-284,-66,60,86,58,83,18,-46,-9,18,-193,59,71,100,52,87,15,-84,-13,-85,31,32,41,100,91,85,68,-46,-2,19,89,60,72,90,15,97,87,-83,28,61,3,-12,69,67,21,-36,35,-4,-43,84,94,-77,79,-160,-106,-58,9,-41,61,99,54,-100,5,-122
34,-230,-172,40,76,-115,-50,32,57,-28,-77,75,-176,74,-55,-100,-88,41,81,-143,95,44,87,-7,17,-66,20,67,91,83,51,62,19,93,-4,38,-135,82,63,71,100,86,28,47,-101,-42,64,-62,96,95,94,88,85,-1,-26,-24,100,50,39,-10,9,73,94,57,-19,52,71,-1,68,-66,44,28,60,0,19,-256,-227,39,4,-12,-1
68,49,59,51,62,-72,33,-200,-85,-128,-87,-82,-28,98,60,-156,-127,37,-11,8,95,44,73,14,-23,-39,-193,-60,93,91,80,76,64,-16,45,0,-167,92,88,86,100,80,100,97,15,-1,-25,72,22,72,67,-66,-102,-92,-199,-125,18,77,61,93,-61,-29,95,-12,-94,100,61,0,47,90,-12,-106,-41,98,-33,93,-315,-72,93,-245,69
-153,0,55,-22,-25,-30,-57,-106,-89,-91,-12,-116,-49,22,61,59,39,-79,-92,46,-2,-47,98,21,76,-58,43,-302,54,22,69,64,69,20,-49,33,-119,79,-44,42,100,97,87,10,22,-137,37,79,28,100,92,-4,92,100,-51,46,41,49,61,87,92,85,70,-222,-206,-70,91,24,43,76,34,39,-4,11,92,30,73,14,-18,29,-52
-258,-101,-249,66,14,-121,71,-110,-81,-381,94,-96,28,61,14,4,-12,-234,-37,63,-35,22,63,89,85,94,37,-84,83,49,96,85,98,68,80,-129,81,-99,44,61,100,81,2,-59,70,-108,18,30,64,86,95,25,52,27,10,12,87,45,-1,97,47,93,-24,-82,-158,56,64,29,-10,-44,43,-271,-54,-233,-57,22,-63,28,-130,-79,67
29,87,91,-53,-22,8,-112,-237,-229,-54,79,4,10,-1,7,1,-12,-92,22,21,-58,-7,24,19,80,-156,16,40,50,81,55,69,20,90,95,-203,-26,49,52,77,100,60,14,91,60,-187,-64,12,-5,85,67,-1,-1,18,-112,-68,68,46,28,51,-32,67,-195,-90,4,41,83,-34,90,91,-35,-89,64,84,-90,23,14,73,8,26,19
