-46,91,68,8,88,11,71,80,27,38,13,71,100,89,57,-33,83,54,90,96,60,36,76,53,29:100,89,57,38,27,8
-77,16,75,73,59,46,49,50,87,81,96,81,100,92,77,65,74,79,53,22,29,96,11,29,52:100,92,87,81,77,22
80,95,72,33,-35,-10,85,74,83,38,16,46,100,53,32,-10,54,82,100,33,89,56,95,-7,22:100,82,54,46,16,-10
71,-77,8,51,74,79,73,91,71,38,40,89,100,98,59,15,-13,87,80,26,33,82,70,-15,3:100,98,80,26,3,-15
64,36,63,93,10,84,99,58,7,90,10,90,100,90,47,21,79,64,53,13,-89,93,92,28,79:100,90,79,64,53,28
61,-11,88,8,100,71,83,99,96,5,46,48,100,93,41,-94,60,83,52,70,10,25,73,21,26:100,99,96,93,52,21
43,82,-43,17,83,-15,100,68,34,2,39,96,100,98,10,56,90,84,35,16,-77,74,100,53,-79:100,98,35,16,10,2
24,48,81,-39,65,-20,96,93,35,29,44,88,100,69,79,53,88,84,51,79,38,70,-28,43,39:100,93,81,48,24,-20
-135,60,84,73,20,53,18,77,62,-13,62,88,100,65,64,-18,70,64,23,18,8,79,84,12,96:100,88,70,64,23,18
1,47,44,51,100,69,29,39,93,83,-6,86,100,77,75,77,66,92,64,-111,79,72,67,58,48:100,92,67,58,48,-111
18,50,-9,76,5,90,61,60,38,19,-62,89,100,97,56,94,79,51,63,89,-5,-54,-33,-34,54:100,97,63,51,-33,-34
52,89,39,28,-42,65,78,95,26,57,91,69,100,64,92,98,63,26,100,99,2,-3,3,-39,80:100,95,78,69,63,26,3,-3
8,90,12,36,47,97,82,28,69,11,39,92,100,72,-4,9,45,97,82,65,70,100,71,-41,24:100,97,82,72,69,36,12
31,30,49,-11,42,74,74,61,80,48,77,92,100,100,59,67,15,85,96,-38,-132,65,-8,61,-18:100,92,77,74,31,30
39,96,50,18,-74,19,73,48,45,50,36,6,100,93,67,51,78,82,44,44,71,30,62,44,4:100,93,67,50,45,18,-74
22,79,4,100,13,38,74,67,13,-6,-37,87,100,69,51,65,64,84,38,73,-131,-2,-9,6,79:100,87,74,67,13,-6
89,37,98,40,97,19,96,89,66,61,39,91,100,59,65,-47,68,7,53,68,-20,53,21,-56,6:100,91,68,53,21,7
70,-65,17,22,22,35,81,88,-16,91,44,70,100,63,97,-68,64,44,57,56,40,-41,56,-31,93:100,88,81,70,64,44
62,41,77,46,39,76,44,5,88,-53,67,86,100,95,50,23,51,79,94,72,61,43,91,64,22:100,95,94,79,51,43
45,76,35,12,13,57,53,47,33,58,55,83,100,92,72,36,6,89,88,-59,-62,93,91,70,3:100,92,88,70,3,-59
90,61,70,4,-80,72,67,100,44,95,8,98,100,65,25,54,91,68,66,97,23,13,71,-28,98:100,98,91,68,66,65,44,4,-80
15,4,48,28,4,46,88,95,50,89,6,98,100,69,53,69,44,72,35,43,18,-6,-21,35,23:100,98,88,46,15,4
23,-37,79,94,67,4,73,44,80,86,88,73,100,87,19,43,47,90,31,94,91,70,79,-20,60:100,90,79,70,47,43
-26,47,48,66,89,-10,40,95,95,94,85,61,100,93,26,52,63,54,29,-37,-49,49,86,93,-41:100,95,48,47,40,-10,-26
-47,62,66,62,4,91,87,67,82,15,60,90,100,64,47,73,52,70,90,60,80,63,-4,55,80:100,90,87,67,66,62,-47
32,37,78,68,-1,48,23,81,86,100,53,80,100,88,89,-46,82,49,70,90,28,79,-27,92,-60:100,88,86,81,78,68,-1
83,92,50,99,87,64,82,99,83,21,38,77,100,77,78,57,6,91,47,24,17,59,-1,10,65:100,99,83,77,47,24
52,61,21,2,-21,86,45,46,76,-59,93,97,100,97,54,89,62,67,69,55,83,19,82,1,76:100,97,93,89,83,19
44,17,49,26,14,-79,59,64,84,16,59,79,100,99,7,20,94,91,96,0,74,17,63,51,71:100,99,96,91,63,51
32,-24,60,18,99,-65,89,97,65,79,-16,67,100,68,28,43,82,51,48,2,-73,-34,41,100,76:100,97,89,67,-16,-65
-6,17,38,5,20,79,90,78,-12,95,52,69,100,98,14,-20,83,99,38,21,9,30,-57,-6,82:100,99,83,69,52,-20
26,62,52,78,22,62,56,68,-1,84,100,59,100,91,41,87,67,79,82,62,17,45,59,17,88:100,91,82,79,67,59,56
