71,30,78,78,-57,1,-126,-57,-8,56,19,67,90,-110,6,77,6,73,76,39,-68,21,74,64,100,80,31,54,-98,16,82,88,80,46,-15,-82,73,81,96,56,77,69,51,44,42,35,-6,-26,-7:100,88,82,81,73,44,42,35,-6,-26
79,-8,-55,94,-28,33,42,54,63,-24,4,92,-79,92,34,39,70,95,87,79,35,54,8,38,100,82,5,-68,99,70,62,86,57,52,89,-104,35,47,2,43,32,-53,65,80,54,81,46,-60,22:100,95,87,82,57,52,32,-53
4,-97,66,-1,86,-1,-70,-59,-3,-81,78,91,92,20,92,67,30,74,93,17,-118,-100,-20,84,100,95,39,3,-59,65,78,95,26,57,86,-11,37,19,92,98,25,-166,99,98,-10,-39,-54,-124,70:100,95,92,19,-10,-39,-54,-124
23,15,41,57,1,-130,-28,77,21,25,92,96,3,94,-19,31,67,92,70,71,61,-16,93,92,100,65,100,-121,-8,40,83,80,48,93,4,88,97,55,-29,16,12,-158,46,-49,6,-139,32,75,-55:100,92,70,65,48,16,12,-158
-5,-31,-223,81,-5,35,20,88,76,61,80,-21,-26,-34,-29,90,51,47,36,69,65,95,36,91,100,83,97,12,51,52,88,91,46,65,-151,31,43,57,38,-111,-57,87,16,13,-103,46,85,-19,25:100,91,88,57,43,31,16,13,-103
99,13,-47,47,-82,-34,-170,63,61,88,12,59,9,-54,9,6,55,54,94,71,-15,34,82,96,100,96,-8,98,-6,68,89,77,40,37,32,43,-15,-50,93,51,-31,-77,-76,14,-94,-95,83,-22,35:100,96,89,77,40,37,32,-77
8,68,-137,-114,64,3,-101,47,79,78,65,56,93,24,-2,45,71,73,84,-11,89,-186,-39,100,100,96,54,80,-16,62,59,86,17,74,37,-40,23,-3,18,3,39,-20,7,57,-43,51,6,83,-127:100,96,84,73,71,45,-2,-186
-97,-26,43,4,-14,-97,75,-43,76,33,94,50,97,6,-305,78,90,91,96,-23,38,-139,98,25,100,82,-29,-6,29,66,37,98,91,67,88,83,56,40,-7,90,56,1,70,85,53,20,93,-18,-2:100,98,91,90,56,1,-2,-18
-35,49,-3,-82,38,20,58,12,82,21,10,16,69,-74,37,84,97,89,79,52,-22,-17,20,73,100,97,66,-2,-93,31,89,92,95,15,85,78,96,90,87,47,80,54,43,67,-108,99,58,81,-20:100,97,95,92,89,73,20,-17,-93
51,-8,65,-90,82,77,73,73,31,67,93,58,-73,26,83,-6,34,62,72,26,-11,81,78,98,100,41,47,-19,-21,-28,93,71,85,26,62,44,52,75,-27,76,-89,78,81,29,32,83,3,-4,33:100,98,93,75,52,44,-21,-28
-25,-3,43,4,80,-168,-45,60,91,100,65,19,89,-4,93,51,77,84,79,50,22,24,81,69,100,82,93,-6,41,-17,19,97,89,80,-5,-52,66,34,27,34,90,-46,-24,-74,68,36,91,27,-186:100,97,89,82,79,50,22,-4,-45,-168
56,-9,20,41,54,60,89,90,51,-14,35,99,-134,-88,22,96,96,80,83,44,73,-43,97,99,100,95,74,81,-5,-82,97,24,85,-31,35,46,68,73,66,87,-30,67,85,-10,-30,16,23,-78,26:100,99,97,73,68,46,-5,-43
-92,46,21,-31,44,25,31,71,-19,69,85,53,41,-248,-16,3,69,25,94,-49,-2,-39,47,97,100,56,55,-78,-23,79,70,65,36,16,51,11,23,24,65,-26,12,7,83,-5,22,92,86,18,89:100,97,70,65,36,16,12,7
-103,63,74,45,-46,-81,45,94,36,99,9,54,27,36,-56,96,97,55,76,1,48,1,92,99,100,65,8,94,43,62,45,86,63,-23,43,99,16,26,22,-15,98,71,-158,13,-75,40,98,74,80:100,99,97,96,92,62,45,26,22,-15
-235,71,99,-26,-47,-96,80,2,71,-26,59,40,57,-77,3,39,77,66,68,27,22,99,71,27,100,77,-60,86,61,-15,90,67,80,-10,87,-266,-83,63,19,33,-14,6,-114,73,55,-48,26,8,-67:100,77,68,66,59,40,-47,-96
14,-13,-151,63,7,-72,32,-6,1,30,62,-24,58,90,38,-4,91,54,28,96,-79,83,51,62,100,93,34,56,35,53,50,90,83,71,3,-51,71,21,-2,-11,67,82,86,97,76,18,61,65,79:100,93,83,71,67,65,61,18,-2,-11
